
SYMBOL	NAME	LDCP	CURRENT	CHANGE	CHANGE (%)	IDX WTG (%)	IDX POINT	VOLUME	SHARES (M)	MARKET CAP (M)
KOSM	Kohinoor Spinning Mills Limited	5.73	5.88	 0.15	 2.62%	0.01%	0.36	57,747,470	436	2,562
BOP	The Bank of Punjab	33.68	34.61	 0.93	 2.76%	0.59%	16.54	52,924,034	3,272	113,229
SPSL	Sitara Petroleum Service Limited	21.66	22.11	 0.45	 2.08%	0.19%	4.11	52,648,271	1,680	37,143
WTL	Worldcall Telecom Limited	1.27	1.27	0.00	0.00%	0.03%	0.00	40,511,471	4,982	6,328
MLCF	Maple Leaf Cement Factory Limited	86.51	90.52	 4.01	 4.64%	0.50%	22.84	35,896,472	1,048	94,825
OBOY	Oilboy Energy Limited	22.14	20.42	 -1.72	 -7.77%	0.01%	-0.47	33,427,696	50	1,021
FNEL	First National Equities Limited	1.35	1.33	 -0.02	 -1.48%	0.02%	-0.29	28,855,016	2,673	3,555
TPL	TPL Corp Limited	14.91	14.09	 -0.82	 -5.50%	0.02%	-1.19	25,681,007	267	3,766
PIBTL	Pakistan International Bulk Terminal	17.27	17.51	 0.24	 1.39%	0.16%	2.33	24,755,100	1,786	31,274
WAVESAPP	Waves Home Appliances Limited	9.45	9.76	 0.31	 3.28%	0.01%	0.45	20,120,122	268	2,615
TPLP	TPL Properties Limited	11.20	10.90	 -0.30	 -2.68%	0.03%	-0.92	19,859,544	561	6,116
KEL	K-Electric Limited	7.84	8.05	 0.21	 2.68%	1.16%	31.53	16,201,950	27,615	222,302
LOADS	Loads Limited	14.95	15.05	 0.10	 0.67%	0.03%	0.20	16,194,856	371	5,587
PAEL	Pak Elektron Limited	39.96	41.07	 1.11	 2.78%	0.20%	5.57	14,726,882	924	37,934
FCCL	Fauji Cement Company Limited	52.14	54.40	 2.26	 4.33%	0.70%	30.14	14,464,283	2,453	133,435
DGKC	D.G. Khan Cement Company Limited	194.10	206.32	 12.22	 6.30%	0.47%	29.11	14,121,963	438	90,393
DSLNC	Dost Steels Limited	5.67	5.47	 -0.20	 -3.53%	0.01%	-0.48	13,632,373	445	2,432
TPLRF1	TPL REIT Fund I	9.74	9.46	 -0.28	 -2.87%	0.09%	-2.79	12,949,495	1,835	17,359
DCL	Dewan Cement Limited	11.64	12.05	 0.41	 3.52%	0.03%	1.08	10,463,451	484	5,834
TELE	Telecard Limited	8.91	8.93	 0.02	 0.22%	0.02%	0.04	10,248,262	339	3,024
ITANZ	Itanz Technologies Limited	50.31	47.77	 -2.54	 -5.05%	0.03%	-1.49	10,238,651	108	5,151
PTC	Pakistan Telecommunication Company Ltd	63.74	64.62	 0.88	 1.38%	1.28%	18.06	9,381,177	3,774	243,876
SPEL	SPEL Limited	45.40	49.09	 3.69	 8.13%	0.05%	4.01	9,136,496	200	9,805
POWER	Power Cement Limited	20.32	21.50	 1.18	 5.81%	0.15%	8.28	9,095,236	1,291	27,746
CNERGY	Cnergyico PK Limited	8.08	8.08	0.00	0.00%	0.23%	0.00	8,451,160	5,493	44,387
HASCOLNC	Hascol Petroleum Limited	21.58	21.51	 -0.07	 -0.32%	0.11%	-0.38	8,008,970	999	21,491
PAKQATAR	Pak Qatar Family Takaful Limited	24.47	22.19	 -2.28	 -9.32%	0.03%	-2.86	7,102,815	231	5,120
NBP	National Bank of Pakistan	184.30	190.17	 5.87	 3.19%	2.12%	67.89	6,824,707	2,128	404,589
WAVES	Waves Corporation Limited	11.11	11.16	 0.05	 0.45%	0.02%	0.08	6,787,356	281	3,140
TRG	TRG Pakistan Limited	70.59	69.78	 -0.81	 -1.15%	0.20%	-2.40	6,715,558	545	38,057
JVDC	Javedan Corporation Limited	145.94	153.16	 7.22	 4.95%	0.31%	14.95	6,474,308	381	58,333
PACE	Pace (Pakistan) Limited	11.65	11.53	 -0.12	 -1.03%	0.02%	-0.20	6,461,881	310	3,573
CSIL	Crescent Star Insurance Limited	6.15	6.05	 -0.10	 -1.63%	0.00%	-0.08	6,318,361	149	899
